Object_ID,Target_Class,Speed_mps,Altitude_m,Latitude,Longitude,Heading_deg,Pitch_deg,Roll_deg,Yaw_deg,Climb_Rate_mps,Acceleration_mps2,Turn_Rate_degps,Range_From_Radar_km,Bearing_deg,Radar_Cross_Section_m2,Doppler_Shift_Hz,Signal_to_Noise_Ratio_dB,Radar_Return_Strength,Infrared_Intensity,Engine_Type,Heat_Signature,Length_m,Wingspan_m,Estimated_Mass_kg,Flight_Profile,Maneuverability_Index,Max_G_Load,Weather,Visibility_km,Wind_Speed_mps,Temperature_C,Humidity_pct,Radar_Band,Sensor_Type,Detection_Time_ms,Tracking_Confidence,Track_Age_s,Number_of_Tracks,Electronic_Jamming,Chaff_Flares_Detected,Stealth_Category,Threat_Level,Target_Label
11,Cruise Missile,195.8,8615.6,32.81176,-169.41098,223,-18.6,55.1,97,-37.5,-1.54,3.06,131,60,22.83,47759,32.9,0.339,Low,Turbojet,Medium,27,13.9,134910,Terrain Following,10,14,Fog,29.7,16,-2.2,49,C,IRST,495,0.661,174.7,151,Strong,Yes,Low,Low,Cruise Missile
12,Hypersonic Missile,2274.5,4927.6,-53.43253,-68.92533,3,-2.5,-15.7,255,-3.4,1.97,11.2,68.3,353,17.75,-21602,22.2,0.846,Very High,Scramjet,Very High,47.5,11.2,53101,Glide,1,14,Storm,19.3,8.9,-9,88,C,AWACS,207,0.872,443.7,68,Moderate,No,High,High,Hypersonic Missile
13,Ballistic Missile,6912.5,8570.3,48.51832,-7.06693,107,13.3,38.9,327,47.2,3.79,22.57,243.3,54,45.67,-9847,10.9,0.182,Very High,Rocket,Very High,16.5,47.8,173087,Ballistic,3,14,Storm,15.9,0.3,7.2,45,C,Ground Radar,16,0.955,357.6,10,Strong,Yes,High,High,Ballistic Missile
14,Transport Aircraft,186.9,1492.6,-45.54142,164.04277,172,-8.1,-29.8,163,-17.6,17.76,12.15,83.6,182,21.32,37933,8.6,0.424,High,Turbofan,High,35.2,36.4,100651,Cruise,5,8,Rain,11.8,6.3,-18.7,34,C,AESA,230,0.514,578.6,2,Moderate,Yes,Medium,Medium,Transport Aircraft
15,UAV,33.7,36610,-19.80032,-133.32591,226,-16.5,14.7,327,12.7,16.12,0.39,204.8,209,1.78,-11402,13.3,0.131,High,Electric,Low,27.7,41.2,1540,Loiter,10,4,Fog,16.6,20.2,26.3,73,S,IRST,170,0.669,456.4,98,,No,Low,Medium,UAV
16,Transport Aircraft,190.3,31787.1,-15.0738,-148.60527,284,3.5,-16,271,-11.1,0.45,23.33,276.4,347,20.74,46354,15.7,0.468,Very High,Turbofan,High,10.8,43.4,71808,Cruise,1,30,Rain,29.6,7.5,44.8,72,C,AWACS,419,0.795,421.1,35,Strong,No,Medium,Medium,Transport Aircraft
17,Hypersonic Missile,2770,25817.7,-6.78715,93.87272,4,-7.7,-14,18,-38.1,19.3,20.6,221.8,196,4.59,-22849,39.5,0.202,High,Scramjet,Very High,22,12.4,37240,Glide,3,15,Clear,22.6,16.5,24.3,43,S,Ground Radar,201,0.51,112.3,11,Weak,Yes,Low,High,Hypersonic Missile
18,Hypersonic Missile,3288.5,5933.7,25.90671,-161.05809,23,-6.4,-6.4,131,26.4,10.93,10.39,389.1,291,19.41,27437,6.3,0.575,Medium,Scramjet,Very High,47.4,18.1,70141,Glide,1,25,Rain,15.8,18.4,-6.5,86,L,Ground Radar,19,0.66,10.8,108,,No,High,Medium,Hypersonic Missile
19,Cruise Missile,234.3,33226,57.51725,-162.35165,342,-8,27.3,248,-27.4,7.99,16.92,59.4,327,47.77,-25068,10.8,0.174,Very High,Turbojet,Medium,46.3,45.4,185133,Terrain Following,1,21,Fog,17.3,5.2,-5.1,63,S,AESA,445,0.514,463.7,17,Strong,No,Low,High,Cruise Missile
20,Cruise Missile,205.3,22236.6,4.72589,148.04099,313,-7.9,-10.9,343,23.8,16.69,12.96,255.8,287,16,-36751,31.5,0.769,High,Turbojet,Medium,39.1,20.9,138640,Terrain Following,1,14,Fog,30,9.9,0.3,72,X,Ground Radar,305,0.636,571,34,Weak,No,Medium,High,Cruise Missile
21,Helicopter,52.5,44461.8,-15.37328,61.42,58,3.3,13.7,8,27.4,1.08,8.21,269.5,127,3.02,32085,8.3,0.777,Medium,Turboshaft,Medium,34.4,46.4,189477,Hover,8,12,Clear,30,17.7,11.3,16,S,AESA,212,0.507,573.1,164,Weak,Yes,Medium,Medium,Helicopter
22,Fighter,534.8,2934.7,28.58711,53.76256,38,-7.4,-15.6,134,19.7,4.49,1.95,336.6,290,40.67,-22123,22.7,0.429,Low,Jet,High,46.9,54.1,171754,Combat,4,29,Clear,15.6,21.7,-19.5,15,S,AWACS,175,0.915,449.7,188,Weak,No,Medium,Low,Fighter
23,Helicopter,58.6,8124.9,47.0566,30.86823,279,4,39.9,278,0.2,10.56,1.22,170.6,161,16.91,1919,17.7,0.428,Medium,Turboshaft,Medium,34.3,53.3,115560,Hover,9,8,Storm,5.2,13.2,-14.3,28,X,AESA,16,0.867,327,108,,Yes,High,Medium,Helicopter
24,Ballistic Missile,2781.7,17926.9,-11.90139,-92.66904,332,-8.2,11.9,120,23.8,12.95,12.84,337.9,213,21.33,-18165,31.3,0.364,Very High,Rocket,Very High,48.9,6.4,158585,Ballistic,2,4,Clear,29.3,19.1,40.9,75,L,AESA,28,0.884,27.5,32,Moderate,Yes,Low,High,Ballistic Missile
25,Ballistic Missile,4373,42993.4,-34.1987,-139.67716,36,1.7,-14.9,52,-18.9,19.45,21.75,350.4,323,22.21,38880,36.8,0.589,High,Rocket,Very High,2.6,5,164775,Ballistic,10,25,Fog,13.1,18.9,32.4,47,S,Ground Radar,59,0.541,457.2,100,Weak,Yes,Low,Low,Ballistic Missile
26,UAV,44,45871.2,48.48116,37.22888,245,-7.8,-31,196,-36.1,15.77,2.53,87.9,232,8.76,25758,34,0.557,High,Electric,Low,22.3,20.6,165642,Loiter,7,26,Storm,13.9,11.9,8.6,45,X,Ground Radar,304,0.981,276.8,139,,Yes,Low,Medium,UAV
27,Helicopter,53.7,23822.5,59.07866,-119.92311,55,10.5,43.7,24,-37.1,10.47,27.63,385,194,36.62,-41025,29.4,0.353,High,Turboshaft,Medium,30.3,25.5,59978,Hover,4,30,Fog,9.1,2.1,5.2,26,C,IRST,433,0.57,452.4,77,,No,High,Low,Helicopter
28,Hypersonic Missile,2034.2,15704.6,-34.63815,-0.13814,181,-1.9,59.4,350,-10.2,13.2,12.91,276.8,229,8.99,-34555,25.2,0.943,Very High,Scramjet,Very High,27,15.6,65750,Glide,6,2,Clear,4.5,12.2,-12.4,66,C,AESA,199,0.803,23.3,195,,No,Low,Medium,Hypersonic Missile
29,Fighter,482.8,2708.5,-27.54903,-122.34042,355,9.6,-44.3,91,-7,19.86,29.35,195.5,232,2,24129,8.1,0.648,Medium,Jet,High,48.9,23.4,82992,Combat,5,2,Fog,26.3,20.7,8.5,29,C,IRST,475,0.722,197.7,177,,No,Low,Low,Fighter
30,Fighter,217.4,44312.1,32.86966,99.07771,102,2.2,2.9,27,-35.4,-0.13,8.41,298.3,175,15.09,-10957,17.5,0.666,Very High,Jet,High,28.7,41.2,5774,Combat,6,5,Storm,22.4,7.1,13.4,41,L,IRST,484,0.597,59.8,166,Moderate,No,High,Medium,Fighter
31,Transport Aircraft,212.6,32259.2,38.65296,-154.94706,351,-7.4,26.7,352,46.1,13.76,26.38,297.5,322,33.1,23377,17,0.487,Low,Turbofan,High,8.7,17.5,120960,Cruise,10,3,Fog,10.9,0.4,-9.3,63,S,Ground Radar,32,0.551,320.4,66,,Yes,High,Medium,Transport Aircraft
32,Transport Aircraft,221.1,46617.9,37.93517,-12.65853,292,0.7,-12.9,100,15.5,6.26,17.06,367.3,159,20.97,-9109,11.6,0.309,Very High,Turbofan,High,48.8,34.5,33381,Cruise,2,18,Clear,10.1,23.1,-11.3,94,C,Ground Radar,30,0.585,142.2,152,Strong,Yes,High,Low,Transport Aircraft
33,Hypersonic Missile,1940.5,6458.9,55.7086,7.47093,167,-17.6,-52.9,348,17,-3.74,11.44,4.7,9,48.28,-11577,12.2,0.824,Medium,Scramjet,Very High,11.2,23.1,77870,Glide,5,18,Fog,4.4,4.3,-18.6,37,L,IRST,86,0.837,331.4,27,Moderate,Yes,Low,Medium,Hypersonic Missile
34,Cruise Missile,278.7,15520.6,-2.847,26.31404,246,-7.4,0.2,184,7.9,6.08,1.79,393.1,201,3.21,-28318,19.9,0.759,Low,Turbojet,Medium,44.5,51.3,71807,Terrain Following,6,24,Storm,29.2,14.9,19.3,70,S,AWACS,306,0.61,410.8,87,,No,High,Medium,Cruise Missile
35,Hypersonic Missile,2674,26806.8,-24.03362,47.08494,250,-0.9,-3,96,-20.3,-1.03,16.59,360.9,28,24.79,4373,8.6,0.126,Low,Scramjet,Very High,37.2,8.1,150993,Glide,9,10,Storm,13.4,11.3,26.1,70,X,IRST,370,0.701,111.7,25,Weak,Yes,Low,Low,Hypersonic Missile
36,Helicopter,43.3,25509,5.10833,-131.1829,303,-12.8,-11.5,157,-24,2.48,19.71,29.3,75,22.36,43555,29.8,0.068,Very High,Turboshaft,Medium,9.1,8.1,183846,Hover,7,26,Fog,16.2,3.4,-16.8,11,X,Ground Radar,323,0.644,234.7,167,Strong,Yes,High,Medium,Helicopter
37,Helicopter,45.5,24640.7,43.52872,12.7734,257,-0.1,51.1,41,-10.4,19.85,22.49,308.8,358,18.22,-315,24.7,0.28,Very High,Turboshaft,Medium,11.8,9,89521,Hover,10,12,Rain,19.8,11.8,-17.6,55,L,AESA,267,0.508,262.7,152,,No,Low,High,Helicopter
38,Fighter,423.3,43317.7,59.58963,-165.43088,286,-15.5,-47.8,20,44.4,9.66,14.71,330.6,97,15.68,-28658,22.2,0.808,High,Jet,High,9.3,26,47241,Combat,10,26,Rain,7.7,20.3,-9.3,88,S,AWACS,311,0.855,93.5,74,Moderate,No,High,Low,Fighter
39,Ballistic Missile,2980.6,34402.8,18.84071,39.95094,155,-6,28.8,111,-8.7,12.92,22.69,178.2,250,24.75,-7265,39.3,0.572,Low,Rocket,Very High,45.9,51.4,100394,Ballistic,6,21,Fog,26.4,12.1,-19.5,19,S,Ground Radar,448,0.926,400.9,154,Weak,No,Medium,High,Ballistic Missile
40,UAV,76.8,39134.4,23.70409,152.17186,331,-7.2,-25.4,329,-10.2,-0.91,25.37,13,138,20.81,-44920,9.8,0.42,Very High,Electric,Low,16,44.2,161847,Loiter,6,18,Fog,17.2,9.9,30.4,68,C,AESA,394,0.606,559.6,78,Strong,Yes,Medium,Medium,UAV
41,Transport Aircraft,242,46099.7,-3.53983,61.244,56,-14,12.7,347,-46.3,9.63,26.72,161.5,91,29.4,-23318,38.1,0.393,Very High,Turbofan,High,27.1,26.2,72328,Cruise,2,30,Clear,14,17.2,-18.2,16,C,AWACS,466,0.967,439.5,78,Weak,No,Medium,Medium,Transport Aircraft
42,Transport Aircraft,188.4,32102.1,-37.18427,64.81271,178,-2,34,300,18.2,6.9,16.56,250.2,172,16.23,-33369,20,0.034,Low,Turbofan,High,29.9,21.5,60277,Cruise,6,24,Fog,20,14.4,41.9,39,C,AWACS,60,0.832,45.9,71,,No,Medium,Medium,Transport Aircraft
43,Fighter,533.6,16869.5,3.85785,-88.3713,154,-3.1,49.7,158,-0.4,-0.85,12.48,114.9,33,9.27,-35030,26.8,0.331,Medium,Jet,High,16.7,42,87230,Combat,5,5,Fog,26.5,3,-2.1,32,L,AWACS,433,0.7,212.9,150,Weak,No,Low,High,Fighter
44,Hypersonic Missile,1833.4,17610.9,-44.87561,81.85657,327,-19.9,-5,352,36,16.06,27.37,111.9,266,43.04,9475,29.4,0.679,Low,Scramjet,Very High,25.9,40.6,161804,Glide,2,11,Clear,1.9,13.7,-19.8,26,C,Ground Radar,427,0.922,138.5,177,Moderate,Yes,High,Medium,Hypersonic Missile
45,Fighter,614.3,4887.1,2.85989,-27.47895,56,11,47.4,341,-27,5.77,2.87,252,262,29.21,25261,29.5,0.243,Very High,Jet,High,33,35,1861,Combat,5,28,Clear,3.8,9.4,26.1,33,C,AWACS,134,0.954,86.3,151,Strong,Yes,Low,High,Fighter
46,Transport Aircraft,203.2,8331.1,0.05591,-36.42534,71,-10.5,54,84,7.9,-3.38,25.03,235,247,9.46,-18625,39.7,0.408,High,Turbofan,High,44.3,6.8,39584,Cruise,6,7,Storm,26.2,8.1,23.6,98,L,IRST,112,0.823,418.6,192,Moderate,No,High,Medium,Transport Aircraft
47,Cruise Missile,237.3,16181,-38.55088,121.237,199,17.8,30.9,5,-9.7,-3.33,3.01,395.4,79,3.53,15295,26.2,0.195,Very High,Turbojet,Medium,22.2,52,125018,Terrain Following,7,3,Storm,21.9,13.8,18.4,41,C,IRST,158,0.615,215.8,101,Strong,No,Low,Medium,Cruise Missile
48,Transport Aircraft,240.7,20118,8.88863,148.22691,97,10.1,23.9,60,-44.4,-2.68,12.8,10.8,96,25.24,-43868,12,0.37,High,Turbofan,High,27.4,43.5,11250,Cruise,5,3,Clear,20.5,13.6,-17.7,61,L,Ground Radar,163,0.537,294.8,199,,No,Low,Low,Transport Aircraft
49,Ballistic Missile,5951.4,15185.8,18.04032,121.37504,178,-8.9,-39.6,292,39.5,16.81,2.23,1.3,273,0.25,19497,35.3,0.073,Medium,Rocket,Very High,26.9,14.2,173364,Ballistic,2,2,Clear,12.3,16.6,4,85,S,AWACS,337,0.897,524.9,149,Moderate,Yes,High,Medium,Ballistic Missile
50,Helicopter,54.1,32868.3,4.99445,-0.76853,1,5.6,-2.4,133,9.5,5.72,18.69,42.8,211,48.18,38238,5.5,0.496,Low,Turboshaft,Medium,9.7,18.1,110704,Hover,8,6,Rain,10.5,16.6,19,28,C,Ground Radar,15,0.916,44.4,43,,Yes,Medium,Medium,Helicopter
51,Cruise Missile,229.1,19629,-7.64284,109.16993,245,2.5,-4.1,346,48.5,3.24,1.66,392,99,4.25,-11115,36.5,0.644,High,Turbojet,Medium,31.5,8,194675,Terrain Following,2,23,Rain,18.4,23.7,-1.3,75,S,IRST,467,0.948,512.7,82,Strong,Yes,Low,Low,Cruise Missile
52,Ballistic Missile,5702.3,33793.6,-13.49335,92.53125,50,-3.8,48,14,-26.8,9.62,5.11,78.8,224,20.65,32908,16.2,0.182,Medium,Rocket,Very High,29.4,2.7,100991,Ballistic,9,24,Clear,5.2,5.9,28.4,12,S,AWACS,327,0.967,456.3,115,Weak,Yes,High,High,Ballistic Missile
53,Helicopter,79.4,42266.7,-4.08247,-147.78657,86,15,21.2,217,-9.4,11.03,17.4,369.4,240,25.14,-37051,18.4,0.793,Low,Turboshaft,Medium,5.6,17.3,74044,Hover,1,21,Rain,21.4,18.3,-2,55,C,Ground Radar,166,0.669,224.9,80,Moderate,Yes,Low,High,Helicopter
54,Transport Aircraft,185.5,30878.7,3.4383,104.78478,107,-10.1,34.4,161,23.3,1.36,3.95,139.7,93,44.98,-93,28,0.463,High,Turbofan,High,32.1,22.4,144378,Cruise,6,6,Storm,10,6.4,-16.2,17,X,AESA,302,0.647,308.2,112,,No,High,High,Transport Aircraft
55,Transport Aircraft,199.9,28130.6,-42.26144,-81.94013,301,8.9,23.6,159,-32.7,17.31,8.58,314.6,208,30.48,3681,24.2,0.837,Low,Turbofan,High,14.2,41.9,28329,Cruise,10,23,Clear,20.9,12.7,27.8,95,S,AESA,468,0.776,262.3,13,Moderate,Yes,Low,Medium,Transport Aircraft
56,Helicopter,53,40160.2,58.92982,-13.93229,349,-18.8,48.2,330,27.6,4.38,4.54,214.2,74,36.37,-23787,5.6,0.029,High,Turboshaft,Medium,23.8,14.9,47096,Hover,7,28,Rain,13.1,11,16.3,47,X,IRST,485,0.557,283.5,45,Moderate,Yes,Low,Medium,Helicopter
57,Helicopter,81,26779,56.57395,-146.71168,225,1.7,29.4,182,-18.1,10.17,22.1,160.8,73,12.26,-48710,16.4,0.318,Medium,Turboshaft,Medium,40,36.7,47013,Hover,4,11,Rain,11.8,12.9,-0.4,33,X,Ground Radar,435,0.722,299.9,170,Weak,Yes,Medium,Low,Helicopter
58,Ballistic Missile,4798.4,31432.9,-55.27869,7.68625,175,-7.8,-14.2,333,3.5,12.81,12.91,347.2,212,9.11,2303,5.4,0.978,Very High,Rocket,Very High,10.9,22,21254,Ballistic,8,14,Fog,27.1,4.1,-6.4,20,C,AWACS,347,0.949,201.7,85,,Yes,Medium,High,Ballistic Missile
59,UAV,26.4,49448.6,-28.37128,7.01485,350,5.6,9.2,71,18.7,9.56,1.89,241.8,164,24.36,-18582,37,0.638,Very High,Electric,Low,25.3,56.7,64529,Loiter,4,13,Clear,2.9,3.4,9.2,81,L,Ground Radar,125,0.877,531.8,38,,No,Low,High,UAV
60,Transport Aircraft,197.7,18975,-58.63385,50.26126,144,-13.9,-33.1,353,-21.6,13.16,29.65,93.7,281,20.64,-44120,25,0.518,Medium,Turbofan,High,29.2,52.1,13991,Cruise,6,9,Storm,27.4,2.6,44.5,29,L,IRST,488,0.83,350.5,9,Weak,No,Low,Medium,Transport Aircraft
61,Fighter,589.8,37160.5,10.13755,-116.27612,110,-3.7,10.3,230,12.8,16.44,21.57,277.9,264,10.92,-19972,17.7,0.921,High,Jet,High,24.1,28.6,100401,Combat,1,14,Storm,8.5,19,-19,44,C,IRST,65,0.977,544,45,Moderate,Yes,Medium,High,Fighter
62,Cruise Missile,250.9,25821.8,-53.31532,-126.88603,354,-11,28.3,255,-47.8,6.65,19.5,199.3,330,33.32,-37025,27.5,0.789,Medium,Turbojet,Medium,49.4,2.8,36787,Terrain Following,8,7,Clear,5.8,13,25.4,91,L,IRST,226,0.763,489.4,7,,No,Low,Medium,Cruise Missile
63,Ballistic Missile,2531.4,43315.4,15.47911,-149.52945,107,2.8,-57.5,282,23.3,0.54,28.34,144.2,342,36.53,-1827,5.6,0.05,Low,Rocket,Very High,3.4,40.6,56874,Ballistic,6,20,Rain,12.8,14.2,0.6,17,X,AWACS,435,0.985,358.4,81,Strong,Yes,Medium,High,Ballistic Missile
64,Ballistic Missile,4507.9,43559,-28.56849,80.99132,77,-15.3,52.3,186,41.7,17.58,28.06,33.8,287,20.02,-23604,20.2,0.889,High,Rocket,Very High,11.3,14.5,60931,Ballistic,1,20,Storm,9.9,21.9,13.5,27,L,AWACS,79,0.944,360.4,98,Moderate,Yes,Medium,High,Ballistic Missile
65,Fighter,355.8,48694.1,-13.60107,106.4826,97,-12,-25.8,190,27.6,-0.44,9.02,124.1,1,0.81,-32397,28.4,0.889,Low,Jet,High,19.2,43.4,109929,Combat,3,4,Rain,25.2,5.4,-17.5,69,X,IRST,437,0.838,441.5,9,Strong,No,Medium,Medium,Fighter
66,Fighter,433.6,14846.3,43.88959,179.37504,20,-6.9,-26.3,110,8.2,5.75,8.11,51.1,209,47.57,25086,35.1,0.705,High,Jet,High,13.2,33.2,147019,Combat,3,15,Storm,27.3,16.1,-10.5,27,C,Ground Radar,417,0.902,574,49,Strong,Yes,High,Low,Fighter
67,Helicopter,58.3,36071.3,-33.26659,-146.04604,141,6,-7.7,136,-28.4,15.67,20.78,126.7,112,23.65,-42903,30.5,0.048,Medium,Turboshaft,Medium,30.2,50.1,100934,Hover,2,16,Clear,21.1,15.6,31.5,35,X,IRST,64,0.505,173,183,Moderate,Yes,High,Medium,Helicopter
68,Ballistic Missile,6304.2,48125.9,59.17691,51.12331,83,11.3,5.2,257,0.7,9.27,5.32,390.8,135,48.5,-6682,6,0.115,High,Rocket,Very High,33.5,35,152086,Ballistic,6,27,Fog,17.3,24.8,23.9,39,X,AESA,392,0.527,15.1,171,Moderate,Yes,High,Low,Ballistic Missile
69,Helicopter,68,49408.9,-28.35549,113.09455,339,13.8,57.5,24,-12,17.66,20.01,149.5,81,25.87,-24255,11.7,0.275,High,Turboshaft,Medium,5.4,12.1,9031,Hover,4,7,Storm,6.5,8.1,44.2,80,C,AESA,12,0.848,6.8,50,,No,High,Low,Helicopter
70,Cruise Missile,258.5,28194.4,30.52367,100.41974,285,-5.9,12.9,342,7.5,17.15,23.63,326.7,89,49.88,39574,16.2,0.096,Low,Turbojet,Medium,10.5,46.9,41029,Terrain Following,8,4,Rain,21.5,20.6,32.7,37,S,AESA,386,0.967,309,108,Moderate,Yes,High,High,Cruise Missile
71,Hypersonic Missile,3317.6,12281.6,-45.93419,-12.75265,106,-19.4,-27.3,234,43.5,-3.66,29.44,269.7,112,15.99,-31825,17.7,0.44,Very High,Scramjet,Very High,23.8,13,57905,Glide,10,10,Clear,23,22.7,-1.8,60,C,IRST,483,0.901,18.6,82,Strong,No,Medium,Low,Hypersonic Missile
72,Hypersonic Missile,2947,26744,53.6499,134.73742,192,14.4,57.9,288,-43.8,7.71,15.76,116.3,348,32.81,21191,28,0.454,Low,Scramjet,Very High,48.9,1.2,45233,Glide,10,16,Clear,9.7,5.9,-2.4,12,S,IRST,166,0.626,517.2,146,,Yes,High,Low,Hypersonic Missile
73,Ballistic Missile,3581.8,30367.8,-50.03477,-97.8146,267,10.2,-59.6,90,20.8,4.97,5.26,16.8,206,9.15,3804,5.9,0.646,High,Rocket,Very High,41.5,8.8,3181,Ballistic,5,30,Rain,25.3,20.7,28.2,99,S,AWACS,227,0.606,553.6,109,Moderate,Yes,Low,Low,Ballistic Missile
74,UAV,36.7,598,-12.64952,68.23048,226,3.7,-5.5,321,37.8,19.98,7.54,105.5,26,41.73,-25707,11.7,0.907,Low,Electric,Low,46,7.7,82097,Loiter,6,20,Storm,24.2,12.6,27.4,35,C,AWACS,92,0.889,581.9,34,Weak,Yes,High,Medium,UAV
75,Cruise Missile,202.7,13449.7,-43.66969,25.75897,140,11.1,7.5,281,-14.7,18.11,26.89,337.4,304,5.49,25899,18.4,0.037,Medium,Turbojet,Medium,22.3,57,56206,Terrain Following,5,23,Rain,10.9,1.2,-2.7,44,X,Ground Radar,167,0.6,532,10,,No,High,High,Cruise Missile
76,Cruise Missile,204.7,30680.3,-45.94794,-106.44268,265,-18.2,37.6,8,17.9,2.52,1.27,193.2,53,29.89,-28535,15.5,0.526,High,Turbojet,Medium,34.1,20.6,165719,Terrain Following,7,3,Storm,10,4.3,1.9,91,X,AWACS,31,0.774,168.4,48,Moderate,Yes,Medium,Low,Cruise Missile
77,Fighter,296.1,44106.7,30.08423,-12.03901,212,17.5,10.8,89,-8,14.81,20.68,99.2,356,32.51,26996,33.2,0.662,Low,Jet,High,4.2,14.3,168940,Combat,7,14,Fog,14,6.3,-9,20,S,IRST,135,0.786,597.8,115,Moderate,Yes,High,Medium,Fighter
78,Fighter,213.2,25590.2,30.5632,-53.82354,253,10.9,-6.7,222,-6.5,13.69,6.48,131.9,191,18.01,-41121,15.1,0.724,Very High,Jet,High,49.2,41.1,137027,Combat,7,11,Fog,27,8.7,8.8,86,X,AESA,74,0.81,526.9,63,Strong,No,Low,High,Fighter
79,Helicopter,67.2,12134.8,53.41273,113.60609,97,19.6,-54.9,313,-1.5,16.27,26.62,116.7,88,11.44,-34768,11.6,0.78,Low,Turboshaft,Medium,8.3,13.2,152527,Hover,7,22,Storm,22.6,23,-19.2,67,X,IRST,163,0.894,515.8,167,Moderate,Yes,High,Medium,Helicopter
80,Hypersonic Missile,2494.7,23928.4,28.38847,-19.86428,138,-19.9,-26.5,3,40.6,14.11,25.65,313.7,53,3.59,-48251,33.3,0.625,Low,Scramjet,Very High,3.5,50.2,149784,Glide,9,16,Clear,19.7,4.6,20.1,70,X,AESA,72,0.821,476.4,127,Strong,Yes,Medium,Medium,Hypersonic Missile
